code  	 type                    	 duration	 participants-number	 participants               	 languages      	 collection-point	 topic	 moderator	 participants-relationship	 year
PBB029	 semistructured-interview	 00:38:16	                   2	 BOR036;BOI101              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBB030	 semistructured-interview	 01:00:51	                   3	 BOR025;BOR035;BOI102       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBB031	 semistructured-interview	 00:49:58	                   3	 BOR031;BOI108;BOI109       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBB032	 semistructured-interview	 00:47:12	                   3	 BOR031;BOI117;BOI118       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBB033	 semistructured-interview	 00:48:35	                   2	 BOR037;BOI119              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBC001	 semistructured-interview	 00:55:41	                   2	 BOR001;BOI001              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBC002	 semistructured-interview	 00:32:19	                   3	 BOR003;BOI007;BOI008       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBC003	 semistructured-interview	 01:15:05	                   3	 BOR001;BOI009;BOI010       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBC004	 semistructured-interview	 00:58:50	                   2	 BOR004;BOI011              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBC005	 semistructured-interview	 01:01:27	                   2	 BOR002;BOI014              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBC006	 semistructured-interview	 00:52:08	                   3	 BOR004;BOI017;BOI018       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC007	 semistructured-interview	 01:02:55	                   2	 BOR005;BOI019              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC008	 semistructured-interview	 00:58:59	                   3	 BOR002;BOR005;BOI021       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC009	 semistructured-interview	 01:36:37	                   3	 BOR002;BOI022;BOI023       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC010	 semistructured-interview	 00:45:06	                   2	 BOR001;BOI029              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC011	 semistructured-interview	 01:16:04	                   2	 BOR008;BOI032              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC012	 semistructured-interview	 00:48:29	                   3	 BOR005;BOI033;BOI034       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC013	 semistructured-interview	 01:08:09	                   2	 BOR009;BOI035              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC014	 semistructured-interview	 00:45:35	                   2	 BOR010;BOI036              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC015	 semistructured-interview	 00:32:24	                   2	 BOR010;BOI037              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC016	 semistructured-interview	 00:48:51	                   2	 BOR010;BOI038              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC017	 semistructured-interview	 00:51:26	                   2	 BOR009;BOI042              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC018	 semistructured-interview	 00:37:48	                   2	 BOR010;BOI043              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC019	 semistructured-interview	 00:34:20	                   2	 BOR010;BOI044              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC020	 semistructured-interview	 00:50:27	                   3	 BOR006;BOI047;BOI048       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC021	 semistructured-interview	 00:51:51	                   2	 BOR012;BOI051              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC022	 semistructured-interview	 00:36:38	                   2	 BOR014;BOI055              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC023	 semistructured-interview	 00:51:25	                   2	 BOR016;BOI058              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBC024	 semistructured-interview	 01:10:00	                   3	 BOR036;BOI103;BOI104       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBC025	 semistructured-interview	 00:52:18	                   3	 BOR025;BOR035;BOI112       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2024
